module	owner	kind	name	signature
core	quasiquotes.construct	class	PlaceholderSource	PlaceholderSource[+T](source: String, holes: Vector[T])
core	quasiquotes.construct	class	QuasiTypeSplice	QuasiTypeSplice
core	quasiquotes.construct	object	PlaceholderSource	PlaceholderSource
core	quasiquotes.construct	object	QuasiTypeSplices	QuasiTypeSplices
core	quasiquotes.construct	object	QuasiquoteError	QuasiquoteError
core	quasiquotes.construct	trait	QuasiquoteError	QuasiquoteError
core	quasiquotes.construct.PlaceholderSource	def	synthesize	synthesize[T](parts: Seq[String], holes: Seq[T]): Either[QuasiquoteError, PlaceholderSource[T]]
core	quasiquotes.construct.QuasiTypeSplices	def	typeSplice	typeSplice(constructedType: ConstructedType): QuasiTypeSplice
core	quasiquotes.construct.QuasiquoteError	class	HoleCountMismatch	HoleCountMismatch(expected: Int, actual: Int) extends QuasiquoteError
core	quasiquotes.construct.QuasiquoteError	class	InvalidConstructorName	InvalidConstructorName(name: String, detail: String) extends QuasiquoteError
core	quasiquotes.construct.QuasiquoteError	class	InvalidPlaceholderName	InvalidPlaceholderName(name: String) extends QuasiquoteError
core	quasiquotes.construct.QuasiquoteError	class	MissingPlaceholder	MissingPlaceholder(index: Int) extends QuasiquoteError
core	quasiquotes.construct.QuasiquoteError	class	ParseFailure	ParseFailure(parseError: ParseError) extends QuasiquoteError
core	quasiquotes.construct.QuasiquoteError	class	PlaceholderCategoryMismatch	PlaceholderCategoryMismatch(name: String, actual: PlaceholderCategory, position: PlaceholderPosition) extends QuasiquoteError
core	quasiquotes.construct.QuasiquoteError	class	TypeSpliceLoweringFailure	TypeSpliceLoweringFailure(detail: String) extends QuasiquoteError
core	quasiquotes.construct.QuasiquoteError	class	UnknownPlaceholder	UnknownPlaceholder(name: String) extends QuasiquoteError
core	quasiquotes.construct.QuasiquoteError	class	UnresolvedConstructor	UnresolvedConstructor(name: String, detail: String) extends QuasiquoteError
core	quasiquotes.construct.QuasiquoteError	class	UnresolvedIdentifier	UnresolvedIdentifier(name: String) extends QuasiquoteError
core	quasiquotes.construct.QuasiquoteError	class	UnsupportedApplication	UnsupportedApplication(detail: String) extends QuasiquoteError
core	quasiquotes.construct.QuasiquoteError	class	UnsupportedConstructorApplication	UnsupportedConstructorApplication(name: String, detail: String) extends QuasiquoteError
core	quasiquotes.construct.QuasiquoteError	class	UnsupportedLiteral	UnsupportedLiteral(detail: String) extends QuasiquoteError
core	quasiquotes.construct.QuasiquoteError	class	UnsupportedPlaceholderPosition	UnsupportedPlaceholderPosition(name: String, actual: PlaceholderCategory, position: PlaceholderPosition) extends QuasiquoteError
core	quasiquotes.construct.QuasiquoteError	class	UnsupportedSelection	UnsupportedSelection(qualifierType: String, name: String, detail: String) extends QuasiquoteError
core	quasiquotes.construct.QuasiquoteError	class	UnsupportedTree	UnsupportedTree(nodeKind: String, detail: String) extends QuasiquoteError
core	quasiquotes.construct.QuasiquoteError	def	message	message: String
core	quasiquotes.construct.QuasiquoteError	given	derived$CanEqual	derived$CanEqual: CanEqual[QuasiquoteError, QuasiquoteError]
core	quasiquotes.construct.QuasiquoteError.HoleCountMismatch	def	message	message: String
core	quasiquotes.construct.QuasiquoteError.InvalidConstructorName	def	message	message: String
core	quasiquotes.construct.QuasiquoteError.InvalidPlaceholderName	def	message	message: String
core	quasiquotes.construct.QuasiquoteError.MissingPlaceholder	def	message	message: String
core	quasiquotes.construct.QuasiquoteError.ParseFailure	def	message	message: String
core	quasiquotes.construct.QuasiquoteError.PlaceholderCategoryMismatch	def	message	message: String
core	quasiquotes.construct.QuasiquoteError.TypeSpliceLoweringFailure	def	message	message: String
core	quasiquotes.construct.QuasiquoteError.UnknownPlaceholder	def	message	message: String
core	quasiquotes.construct.QuasiquoteError.UnresolvedConstructor	def	message	message: String
core	quasiquotes.construct.QuasiquoteError.UnresolvedIdentifier	def	message	message: String
core	quasiquotes.construct.QuasiquoteError.UnsupportedApplication	def	message	message: String
core	quasiquotes.construct.QuasiquoteError.UnsupportedConstructorApplication	def	message	message: String
core	quasiquotes.construct.QuasiquoteError.UnsupportedLiteral	def	message	message: String
core	quasiquotes.construct.QuasiquoteError.UnsupportedPlaceholderPosition	def	message	message: String
core	quasiquotes.construct.QuasiquoteError.UnsupportedSelection	def	message	message: String
core	quasiquotes.construct.QuasiquoteError.UnsupportedTree	def	message	message: String
core	quasiquotes.matching	class	MappedPatternSource	MappedPatternSource(patternSource: PatternSource, originMap: GeneratedSourceMap, occurrences: Vector[HoleOccurrence])
core	quasiquotes.matching	class	MatchResult	MatchResult[T](bindings: Map[String, T])
core	quasiquotes.matching	class	PatternSource	PatternSource(source: String, holes: Vector[String])
core	quasiquotes.matching	object	MatchFailure	MatchFailure
core	quasiquotes.matching	object	PatternError	PatternError
core	quasiquotes.matching	object	PatternSource	PatternSource
core	quasiquotes.matching	object	TermPattern	TermPattern
core	quasiquotes.matching	trait	MatchFailure	MatchFailure
core	quasiquotes.matching	trait	PatternError	PatternError
core	quasiquotes.matching	trait	TermPattern	TermPattern
core	quasiquotes.matching.MappedPatternSource	val	generatedHoleIndex	generatedHoleIndex: GeneratedHoleIndex
core	quasiquotes.matching.MatchFailure	class	RepeatedHoleMismatch	RepeatedHoleMismatch(name: String, previous: String, current: String) extends MatchFailure
core	quasiquotes.matching.MatchFailure	class	ShapeMismatch	ShapeMismatch(expected: String, actual: String) extends MatchFailure
core	quasiquotes.matching.MatchFailure	class	UnsupportedTargetShape	UnsupportedTargetShape(detail: String) extends MatchFailure
core	quasiquotes.matching.MatchFailure	def	message	message: String
core	quasiquotes.matching.MatchFailure	given	derived$CanEqual	derived$CanEqual: CanEqual[MatchFailure, MatchFailure]
core	quasiquotes.matching.MatchFailure.RepeatedHoleMismatch	def	message	message: String
core	quasiquotes.matching.MatchFailure.ShapeMismatch	def	message	message: String
core	quasiquotes.matching.MatchFailure.UnsupportedTargetShape	def	message	message: String
core	quasiquotes.matching.MatchResult	def	binding	binding(name: String): Option[T]
core	quasiquotes.matching.PatternError	class	InvalidHoleName	InvalidHoleName(name: String) extends PatternError
core	quasiquotes.matching.PatternError	class	NoHolesInInterpolator	NoHolesInInterpolator() extends PatternError
core	quasiquotes.matching.PatternError	class	ParseFailure	ParseFailure(parseError: ParseError) extends PatternError
core	quasiquotes.matching.PatternError	class	UnsupportedPatternShape	UnsupportedPatternShape(nodeKind: String, detail: String) extends PatternError
core	quasiquotes.matching.PatternError	def	message	message: String
core	quasiquotes.matching.PatternError	given	derived$CanEqual	derived$CanEqual: CanEqual[PatternError, PatternError]
core	quasiquotes.matching.PatternError.InvalidHoleName	def	message	message: String
core	quasiquotes.matching.PatternError.NoHolesInInterpolator	def	message	message: String
core	quasiquotes.matching.PatternError.ParseFailure	def	message	message: String
core	quasiquotes.matching.PatternError.UnsupportedPatternShape	def	message	message: String
core	quasiquotes.matching.PatternSource	def	extractHoleName	extractHoleName(identifier: String): Option[String]
core	quasiquotes.matching.PatternSource	def	synthesize	synthesize(pattern: String): Either[PatternError, PatternSource]
core	quasiquotes.matching.PatternSource	def	synthesizeMapped	synthesizeMapped(pattern: String): Either[PatternError, MappedPatternSource]
core	quasiquotes.matching.PatternSource	def	synthesizeMappedLocated	synthesizeMappedLocated(pattern: String): Either[LocatedDiagnostic[PatternError], MappedPatternSource]
core	quasiquotes.matching.TermPattern	class	Apply	Apply(function: TermPattern, arguments: List[TermPattern]) extends TermPattern
core	quasiquotes.matching.TermPattern	class	Hole	Hole(name: String) extends TermPattern
core	quasiquotes.matching.TermPattern	class	Identifier	Identifier(name: String) extends TermPattern
core	quasiquotes.matching.TermPattern	class	If	If(condition: TermPattern, thenBranch: TermPattern, elseBranch: TermPattern) extends TermPattern
core	quasiquotes.matching.TermPattern	class	Infix	Infix(left: TermPattern, operator: String, right: TermPattern) extends TermPattern
core	quasiquotes.matching.TermPattern	class	InterpolatedString	InterpolatedString(prefix: String, parts: List[String], arguments: List[TermPattern]) extends TermPattern
core	quasiquotes.matching.TermPattern	class	Literal	Literal(value: String) extends TermPattern
core	quasiquotes.matching.TermPattern	class	New	New(constructor: String, arguments: List[TermPattern]) extends TermPattern
core	quasiquotes.matching.TermPattern	class	Parenthesized	Parenthesized(expression: TermPattern) extends TermPattern
core	quasiquotes.matching.TermPattern	class	Select	Select(qualifier: TermPattern, name: String) extends TermPattern
core	quasiquotes.matching.TermPattern	class	Tuple	Tuple(elements: List[TermPattern]) extends TermPattern
core	quasiquotes.matching.TermPattern	class	Typed	Typed(expression: TermPattern, typeName: String) extends TermPattern
core	quasiquotes.matching.TermPattern	class	Unary	Unary(operator: String, operand: TermPattern) extends TermPattern
core	quasiquotes.matching.TermPattern	def	render	render(pattern: TermPattern): String
core	quasiquotes.matching.TermPattern	def	render	render: String
core	quasiquotes.matching.TermPattern	given	derived$CanEqual	derived$CanEqual: CanEqual[TermPattern, TermPattern]
core	quasiquotes.parser	class	ParseDiagnostic	ParseDiagnostic(message: String, generatedSpan: Option[SourceSpan])
core	quasiquotes.parser	class	ParseError	ParseError(source: String, kind: ParseErrorKind, messages: List[String], diagnostics: List[ParseDiagnostic] = ...) extends RuntimeException
core	quasiquotes.parser	enum	ParseErrorKind	ParseErrorKind
core	quasiquotes.parser	object	DiagnosticLocationMapper	DiagnosticLocationMapper
core	quasiquotes.parser	object	ParseError	ParseError
core	quasiquotes.parser	object	Placeholder	Placeholder
core	quasiquotes.parser	object	TermShape	TermShape
core	quasiquotes.parser	object	TypeShape	TypeShape
core	quasiquotes.parser	trait	TermShape	TermShape
core	quasiquotes.parser	trait	TypeShape	TypeShape
core	quasiquotes.parser.DiagnosticLocationMapper	def	fromParseError	fromParseError(error: ParseError, sourceMap: GeneratedSourceMap): Option[DiagnosticLocation]
core	quasiquotes.parser.DiagnosticLocationMapper	def	wholeSource	wholeSource(sourceMap: GeneratedSourceMap, preferredSpan: Option[SourceSpan] = ...): Option[DiagnosticLocation]
core	quasiquotes.parser.ParseError	def	summary	summary: String
core	quasiquotes.parser.ParseError	def	syntax	syntax(source: String, messages: List[String]): ParseError
core	quasiquotes.parser.ParseError	def	trailing	trailing(source: String, offset: Int, trailingSnippet: String, tokenDescription: String): ParseError
core	quasiquotes.parser.ParseErrorKind	val	SyntaxError	SyntaxError extends ParseErrorKind
core	quasiquotes.parser.ParseErrorKind	val	TrailingInput	TrailingInput extends ParseErrorKind
core	quasiquotes.parser.Placeholder	def	isPlaceholder	isPlaceholder(name: String): Boolean
core	quasiquotes.parser.TermShape	class	Apply	Apply(function: TermShape, arguments: List[TermShape]) extends TermShape
core	quasiquotes.parser.TermShape	class	Identifier	Identifier(name: String, isPlaceholder: Boolean) extends TermShape
core	quasiquotes.parser.TermShape	class	If	If(condition: TermShape, thenBranch: TermShape, elseBranch: TermShape) extends TermShape
core	quasiquotes.parser.TermShape	class	Infix	Infix(left: TermShape, operator: String, right: TermShape) extends TermShape
core	quasiquotes.parser.TermShape	class	InterpolatedString	InterpolatedString(prefix: String, parts: List[String], arguments: List[TermShape]) extends TermShape
core	quasiquotes.parser.TermShape	class	Literal	Literal(value: String) extends TermShape
core	quasiquotes.parser.TermShape	class	New	New(constructor: String, arguments: List[TermShape]) extends TermShape
core	quasiquotes.parser.TermShape	class	Parenthesized	Parenthesized(expression: TermShape) extends TermShape
